BGC Name	BiGSCAPE GCF	Genome Name	Taxonomy	BGC Type	Study source	Peripla_BP_2 (Y/N)	FecCD (Y/N)	Tonb_dep_Rec (Y/N)
ERS473290_45-002	1941	ERS473290_45	Escherichia	nrps	Adult	1	1	1
ERS473404_1-001	1953	ERS473404_1	Escherichia	nrps	Adult	1	1	1
ERS473393_3-001	1953	ERS473393_3	Escherichia	nrps	Adult	1	1	1
ERS608540_90-004	2021	ERS608540_90	Escherichia	nrps	Adult	1	1	1
SRS476832_31-001	2040	SRS476832_31	Escherichia	nrps	Adult	1	1	0
dasN2_065_024G1_maxbin2.maxbin.002.fasta-c00035_65_011_...region001	1953	dasN2_065_024G1_maxbin2.maxbin.002.fasta	Escherichia	NRPS	Infant	1	1	1
ERS396393_59-002	1941	ERS396393_59	Escherichia	nrps	Adult	1	1	1
ERS473165_15-001	1867	ERS473165_15	Escherichia	nrps	Adult	1	1	1
dasN5_266_000G1_maxbin2.maxbin.008.fasta-c00013_N5_266_...region001	2021	dasN5_266_000G1_maxbin2.maxbin.008.fasta	Escherichia	NRPS	Infant	1	1	1
ERS473193_9-002	1867	ERS473193_9	Escherichia	nrps	Adult	1	1	1
ERS608484_24-001	2040	ERS608484_24	Escherichia	nrps	Adult	1	1	1
dasN4_152_006G1_concoct_19-c00037_N4_152_...region001	1941	dasN4_152_006G1_concoct_19	Escherichia	NRPS	Infant	1	1	1
SRS1735517_1-003	2021	SRS1735517_1	Escherichia	nrps	Adult	1	1	1
ERS473129_2-001	2021	ERS473129_2	Escherichia	nrps	Adult	1	1	1
SRS259533_20-001	2040	SRS259533_20	Escherichia	nrps	Adult	1	1	1
SRS335560_5-002	2021	SRS335560_5	Escherichia	nrps	Adult	1	1	1
ERS537377_48-001	1953	ERS537377_48	Escherichia	nrps	Adult	1	1	0
SRS403229_7-005	2021	SRS403229_7	Escherichia	nrps	Adult	1	1	1
ERS473194_26-003	1916	ERS473194_26	Escherichia	siderophore	Adult	0	1	1
SRS142505_1-001	1911	SRS142505_1	Escherichia	other	Adult	1	1	0
ERS537408_26-003	1867	ERS537408_26	Escherichia	nrps	Adult	1	1	1
SRS344898_4-001	1953	SRS344898_4	Escherichia	nrps	Adult	1	1	1
ERS473174_51-002	1953	ERS473174_51	Escherichia	nrps	Adult	1	1	1
dasS2_004_020G1_maxbin2.maxbin.006.fasta-c00007_0420A01...region001	1953	dasS2_004_020G1_maxbin2.maxbin.006.fasta	Escherichia	NRPS	Infant	1	1	1
dasS2_011_008G1_concoct_14-c00006_JBBB015...region001	2021	dasS2_011_008G1_concoct_14	Escherichia	NRPS	Infant	1	1	1
dasN1_014_015G1_abawaca.9.fasta-c00002_b014-d0...region001	3057	dasN1_014_015G1_abawaca.9.fasta	Escherichia	thiopeptide	Infant	1	1	1
ERS473392_3-001	1953	ERS473392_3	Escherichia	nrps	Adult	1	1	1
ERS473232_1-002	2040	ERS473232_1	Escherichia	nrps	Adult	1	1	1
SRS475586_22-002	2021	SRS475586_22	Escherichia	nrps	Adult	1	1	1
dasN4_097_005G1_concoct_10-c00002_N4_097_...region001	1867	dasN4_097_005G1_concoct_10	Escherichia	NRPS	Infant	1	1	1
dasN5_243_023G1_concoct_9-c00002_N5_243_...region001	3057	dasN5_243_023G1_concoct_9	Escherichia	thiopeptide	Infant	1	1	1
SRS373041_1-002	2040	SRS373041_1	Escherichia	nrps	Adult	1	1	1
SRS476021_50-001	1953	SRS476021_50	Escherichia	nrps	Adult	1	1	1
ERS473108_16-001	2021	ERS473108_16	Escherichia	nrps	Adult	1	1	1
ERS396405_12-001	1941	ERS396405_12	Escherichia	nrps	Adult	1	1	1
SRS373114_3-003	2021	SRS373114_3	Escherichia	nrps	Adult	1	1	1
dasN4_170_009G1_maxbin2.maxbin.001.fasta-c00002_N4_170_...region001	1867	dasN4_170_009G1_maxbin2.maxbin.001.fasta	Escherichia	NRPS	Infant	1	1	1
ERS396490_12-001	2040	ERS396490_12	Escherichia	nrps	Adult	1	1	1
SRS290676_18-001	2040	SRS290676_18	Escherichia	nrps	Adult	1	1	1
ERS473147_20-002	2040	ERS473147_20	Escherichia	nrps	Adult	0	1	1
ERS473316_2-002	1867	ERS473316_2	Escherichia	nrps	Adult	1	1	1
SRS294925_22-003	2040	SRS294925_22	Escherichia	nrps	Adult	1	1	1
ERS473271_25-004	2021	ERS473271_25	Escherichia	nrps	Adult	0	1	1
ERS235591_41-002	2040	ERS235591_41	Escherichia	nrps	Adult	1	1	1
SRS1719467_4-001	1864	SRS1719467_4	Escherichia	nrps	Adult	1	1	1
ERS537179_45-001	1953	ERS537179_45	Escherichia	nrps	Adult	1	1	1
ERS608592_5-002	2040	ERS608592_5	Escherichia	nrps	Adult	1	1	0
SRS1719421_16-002	1953	SRS1719421_16	Escherichia	nrps	Adult	1	1	1
SRS1735622_4-004	2021	SRS1735622_4	Escherichia	nrps	Adult	1	1	1
dasN5_235_027G1_maxbin2.maxbin.001.fasta-c00004_N5_235_...region002	3057	dasN5_235_027G1_maxbin2.maxbin.001.fasta	Escherichia	thiopeptide	Infant	1	1	1
SRS294966_21-002	2021	SRS294966_21	Escherichia	nrps	Adult	1	1	1
ERS473279_21-001	2021	ERS473279_21	Escherichia	nrps	Adult	1	1	1
ERS608503_53-001	2021	ERS608503_53	Escherichia	nrps	Adult	1	1	1
ERS235593_34-002	1867	ERS235593_34	Escherichia	nrps	Adult	0	1	1
SRS016585_4-001	1953	SRS016585_4	Escherichia	nrps	Adult	1	1	1
SRS372536_3-003	1916	SRS372536_3	Escherichia	siderophore	Adult	0	1	1
ERS537320_94-001	1953	ERS537320_94	Escherichia	nrps	Adult	1	1	1
SRS414182_1-003	2021	SRS414182_1	Escherichia	nrps	Adult	1	1	1
SRS372523_5-004	1916	SRS372523_5	Escherichia	siderophore	Adult	0	1	1
SRS1735541_1-002	2021	SRS1735541_1	Escherichia	nrps	Adult	1	1	1
SRS1719131_2-001	1953	SRS1719131_2	Escherichia	nrps	Adult	0	1	1
SRS311530_3-001	2040	SRS311530_3	Escherichia	nrps	Adult	1	1	1
ERS537395_45-002	1953	ERS537395_45	Escherichia	nrps	Adult	0	1	1
ERS473192_13-002	1867	ERS473192_13	Escherichia	nrps	Adult	1	1	1
ERS473297_3-002	1941	ERS473297_3	Escherichia	nrps	Adult	1	1	1
ERS235603_47-001	1953	ERS235603_47	Escherichia	nrps	Adult	0	1	1
SRS259525_10-002	1953	SRS259525_10	Escherichia	nrps	Adult	1	1	1
SRS372718_4-001	2021	SRS372718_4	Escherichia	nrps	Adult	1	1	1
SRS372572_3-001	1867	SRS372572_3	Escherichia	nrps	Adult	1	1	1
SRS255236_18-001	1941	SRS255236_18	Escherichia	nrps	Adult	1	1	1
ERS537304_74-002	1953	ERS537304_74	Escherichia	nrps	Adult	1	1	1
SRS344901_1-003	2021	SRS344901_1	Escherichia	nrps	Adult	1	1	1
ERS608479_39-002	1953	ERS608479_39	Escherichia	nrps	Adult	1	1	1
ERS473284_4-003	1941	ERS473284_4	Escherichia	nrps	Adult	1	1	1
SRS294961_3-001	2021	SRS294961_3	Escherichia	nrps	Adult	0	1	1
SRS373132_1-001	2021	SRS373132_1	Escherichia	nrps	Adult	1	1	1
SRS1735578_1-001	1916	SRS1735578_1	Escherichia	siderophore	Adult	0	1	1
SRS383482_2-001	1867	SRS383482_2	Escherichia	nrps	Adult	1	1	1
ERS473318_31-004	1953	ERS473318_31	Escherichia	nrps	Adult	1	1	1
dasN4_167_020G1_concoct_0-c00013_N4_167_...region001	2040	dasN4_167_020G1_concoct_0	Escherichia	NRPS	Infant	1	1	1
SRS259506_6-002	2040	SRS259506_6	Escherichia	nrps	Adult	1	1	1
dasN4_151_014G1_concoct_2-c00026_N4_151_...region001	1953	dasN4_151_014G1_concoct_2	Escherichia	NRPS	Infant	1	1	1
ERS473300_9-002	2021	ERS473300_9	Escherichia	nrps	Adult	1	1	1
SRS371392_1-004	1941	SRS371392_1	Escherichia	nrps	Adult	1	1	1
dasN5_224_065G1_abawaca.5.fasta-c00007_N5_224_...region001	2021	dasN5_224_065G1_abawaca.5.fasta	Escherichia	NRPS	Infant	1	1	1
SRS372719_2-003	1953	SRS372719_2	Escherichia	nrps	Adult	1	1	1
SRS294937_19-001	2040	SRS294937_19	Escherichia	nrps	Adult	0	1	1
SRS1735520_2-002	2021	SRS1735520_2	Escherichia	nrps	Adult	1	1	1
ERS396466_15-001	1953	ERS396466_15	Escherichia	nrps	Adult	1	1	0
dasN5_244_000G1_abawaca.57.fasta-c00009_N5_244_...region001	2021	dasN5_244_000G1_abawaca.57.fasta	Escherichia	NRPS	Infant	1	1	0
SRS476013_49-002	2040	SRS476013_49	Escherichia	nrps	Adult	1	1	1
SRS295006_33-002	1916	SRS295006_33	Escherichia	siderophore	Adult	0	1	1
SRS414275_8-002	2021	SRS414275_8	Escherichia	nrps	Adult	1	1	1
SRS372699_7-004	1941	SRS372699_7	Escherichia	nrps	Adult	1	1	1
SRS1735502_6-003	2021	SRS1735502_6	Escherichia	nrps	Adult	1	1	1
dasN5_269_055G1_maxbin2.maxbin.002.fasta-c00001_N5_269_...region002	1867	dasN5_269_055G1_maxbin2.maxbin.002.fasta	Escherichia	NRPS	Infant	1	1	1
ERS473074_9-001	1941	ERS473074_9	Escherichia	nrps	Adult	1	1	1
SRS1735527_3-003	2021	SRS1735527_3	Escherichia	nrps	Adult	1	1	1
SRS372646_3-001	2021	SRS372646_3	Escherichia	nrps	Adult	1	1	1
dasN5_269_016G1_concoct_1-c00001_N5_269_...region001	3057	dasN5_269_016G1_concoct_1	Escherichia	thiopeptide	Infant	1	1	1
ERS473044_6-001	2021	ERS473044_6	Escherichia	nrps	Adult	1	1	1
dasN3_177_039G1_abawaca.2.fasta-c00104_N4_177_...region001	2021	dasN3_177_039G1_abawaca.2.fasta	Escherichia	NRPS	Infant	1	1	1
SRS290836_2-004	2021	SRS290836_2	Escherichia	nrps	Adult	1	1	1
ERS396473_16-001	1953	ERS396473_16	Escherichia	nrps	Adult	1	1	1
ERS473256_13-002	2021	ERS473256_13	Escherichia	nrps	Adult	1	1	1
ERS473389_2-004	2021	ERS473389_2	Escherichia	nrps	Adult	1	1	1
SRS295012_17-001	2040	SRS295012_17	Escherichia	nrps	Adult	1	1	1
ERS473296_23-002	1941	ERS473296_23	Escherichia	nrps	Adult	1	1	1
SRS259441_12-003	1953	SRS259441_12	Escherichia	nrps	Adult	0	1	1
ERS608530_23-001	2040	ERS608530_23	Escherichia	nrps	Adult	1	1	0
ERS473338_62-003	1867	ERS473338_62	Escherichia	nrps	Adult	1	1	1
ERS473301_1-002	1916	ERS473301_1	Escherichia	siderophore	Adult	0	1	1
ERS608615_14-001	2040	ERS608615_14	Escherichia	nrps	Adult	1	1	1
SRS373067_1-002	1916	SRS373067_1	Escherichia	siderophore	Adult	0	1	1
SRS1719585_2-001	2021	SRS1719585_2	Escherichia	nrps	Adult	1	1	1
ERS537302_29-003	1911	ERS537302_29	Escherichia	other	Adult	1	1	0
SRS1735600_1-002	2040	SRS1735600_1	Escherichia	nrps	Adult	1	1	1
SRS1735519_1-003	1953	SRS1735519_1	Escherichia	nrps	Adult	1	1	1
ERS537399_13-002	1953	ERS537399_13	Escherichia	nrps	Adult	1	1	1
SRS372694_1-001	1867	SRS372694_1	Escherichia	nrps	Adult	1	1	1
SRS371431_1-005	2383	SRS371431_1	Escherichia	nrps	Adult	1	1	1
SRS255695_12-004	2021	SRS255695_12	Escherichia	nrps	Adult	1	1	1
SRS1735642_4-001	2040	SRS1735642_4	Escherichia	nrps	Adult	1	1	1
SRS1735582_1-004	1953	SRS1735582_1	Escherichia	nrps	Adult	1	1	1
SRS294890_39-001	2040	SRS294890_39	Escherichia	nrps	Adult	1	1	1
SRS255715_4-004	2021	SRS255715_4	Escherichia	nrps	Adult	1	1	1
ERS396446_23-001	1941	ERS396446_23	Escherichia	nrps	Adult	1	1	1
dasN4_141_020G1_maxbin2.maxbin.005.fasta-c00035_N4_141_...region001	1941	dasN4_141_020G1_maxbin2.maxbin.005.fasta	Escherichia	NRPS	Infant	1	1	1
ERS537209_50-002	1953	ERS537209_50	Escherichia	nrps	Adult	1	1	0
SRS414149_2-001	1867	SRS414149_2	Escherichia	nrps	Adult	1	1	1
SRS1735494_1-003	1953	SRS1735494_1	Escherichia	nrps	Adult	1	1	1
ERS473257_8-001	2021	ERS473257_8	Escherichia	nrps	Adult	1	1	1
ERS396406_59-003	1916	ERS396406_59	Escherichia	siderophore	Adult	0	1	1
SRS259534_1-002	2021	SRS259534_1	Escherichia	nrps	Adult	1	1	1
ERS473093_12-001	1867	ERS473093_12	Escherichia	nrps	Adult	1	1	1
ERS473117_1-001	1953	ERS473117_1	Escherichia	nrps	Adult	1	1	1
ERS396382_20-002	1867	ERS396382_20	Escherichia	nrps	Adult	1	1	1
SRS372658_2-002	2021	SRS372658_2	Escherichia	nrps	Adult	1	1	1
ERS608612_63-003	2040	ERS608612_63	Escherichia	nrps	Adult	1	1	0
SRS371626_2-003	1953	SRS371626_2	Escherichia	nrps	Adult	1	1	1
SRS1170766_11-002	1867	SRS1170766_11	Escherichia	nrps	Adult	1	1	1
dasN4_094_008G1_maxbin2.maxbin.002.fasta-c00002_N4_094_...region001	1867	dasN4_094_008G1_maxbin2.maxbin.002.fasta	Escherichia	NRPS	Infant	1	1	1
SRS255714_1-002	2021	SRS255714_1	Escherichia	nrps	Adult	1	1	1
SRS373183_2-002	2040	SRS373183_2	Escherichia	nrps	Adult	1	1	1
dasN5_215_010G1_maxbin2.maxbin.001.fasta-c00021_N5_215_...region001	1867	dasN5_215_010G1_maxbin2.maxbin.001.fasta	Escherichia	NRPS	Infant	1	1	1
SRS371543_3-002	2040	SRS371543_3	Escherichia	nrps	Adult	1	1	1
ERS473289_9-002	1941	ERS473289_9	Escherichia	nrps	Adult	1	1	1
dasN5_254_051G1_maxbin2.maxbin.002.fasta-c00001_N5_254_...region001	2021	dasN5_254_051G1_maxbin2.maxbin.002.fasta	Escherichia	NRPS	Infant	1	1	1
dasN1_003_086G1_abawaca.4.fasta-c00009_b003-d0...region001	2040	dasN1_003_086G1_abawaca.4.fasta	Escherichia	NRPS	Infant	1	1	1
SRS373049_1-002	1941	SRS373049_1	Escherichia	nrps	Adult	1	1	1
dasN1_023_034G1_abawaca.19.fasta-c00013_b023-d0...region001	2021	dasN1_023_034G1_abawaca.19.fasta	Escherichia	NRPS	Infant	1	1	1
SRS1170758_25-004	1867	SRS1170758_25	Escherichia	nrps	Adult	1	1	1
SRS372523_5-002	2021	SRS372523_5	Escherichia	nrps	Adult	1	1	1
ERS608573_15-002	1867	ERS608573_15	Escherichia	nrps	Adult	1	1	1
SRS1719322_3-005	2021	SRS1719322_3	Escherichia	nrps	Adult	1	1	1
ERS473363_5-001	1953	ERS473363_5	Escherichia	nrps	Adult	1	1	1
SRS332156_6-002	2040	SRS332156_6	Escherichia	nrps	Adult	1	1	1
dasN4_137_005G1_maxbin2.maxbin.005.fasta-c00039_N4_137_...region001	1941	dasN4_137_005G1_maxbin2.maxbin.005.fasta	Escherichia	NRPS	Infant	1	1	1
SRS294977_28-002	2266	SRS294977_28	Escherichia	other	Adult	1	1	0
dasS2_010_018G1_maxbin2.maxbin.004.fasta-c00004_1018A06...region002	2021	dasS2_010_018G1_maxbin2.maxbin.004.fasta	Escherichia	NRPS	Infant	1	1	1
SRS255128_20-006	2021	SRS255128_20	Escherichia	nrps	Adult	1	1	1
SRS1719561_4-004	2021	SRS1719561_4	Escherichia	nrps	Adult	1	1	1
ERS396515_13-005	2021	ERS396515_13	Escherichia	nrps	Adult	1	1	1
ERS473192_13-003	1916	ERS473192_13	Escherichia	siderophore	Adult	0	1	1
ERS473372_1-002	1941	ERS473372_1	Escherichia	nrps	Adult	1	1	0
SRS372683_1-002	1953	SRS372683_1	Escherichia	nrps	Adult	1	1	1
ERS473209_15-001	2021	ERS473209_15	Escherichia	nrps	Adult	1	1	1
ERS396439_42-001	1953	ERS396439_42	Escherichia	nrps	Adult	1	1	1
SRS344930_2-005	2021	SRS344930_2	Escherichia	nrps	Adult	1	1	1
SRS259525_10-003	1916	SRS259525_10	Escherichia	siderophore	Adult	0	1	1
SRS295013_15-001	2040	SRS295013_15	Escherichia	nrps	Adult	1	1	0
ERS396307_46-004	1916	ERS396307_46	Escherichia	siderophore	Adult	0	1	1
SRS1719431_3-003	1953	SRS1719431_3	Escherichia	nrps	Adult	1	1	1
ERS608485_59-002	1953	ERS608485_59	Escherichia	nrps	Adult	1	1	0
SRS1719460_1-001	2021	SRS1719460_1	Escherichia	nrps	Adult	1	1	1
SRS476169_88-001	1867	SRS476169_88	Escherichia	nrps	Adult	1	1	1
ERS235554_22-002	1867	ERS235554_22	Escherichia	nrps	Adult	1	1	1
ERS473173_3-001	1953	ERS473173_3	Escherichia	nrps	Adult	1	1	1
SRS332218_9-007	2383	SRS332218_9	Escherichia	nrps	Adult	1	1	1
SRS414155_6-003	2021	SRS414155_6	Escherichia	nrps	Adult	1	1	1
ERS473238_29-002	2040	ERS473238_29	Escherichia	nrps	Adult	1	1	1
SRS1735614_2-003	1916	SRS1735614_2	Escherichia	siderophore	Adult	0	1	1
ERS396305_9-001	1953	ERS396305_9	Escherichia	nrps	Adult	1	1	1
ERS473080_4-002	2021	ERS473080_4	Escherichia	nrps	Adult	1	1	1
dasS2_005_016G1_maxbin2.maxbin.002.fasta-c00005_JBBB003...region001	1867	dasS2_005_016G1_maxbin2.maxbin.002.fasta	Escherichia	NRPS	Infant	1	1	1
ERS396482_10-001	2040	ERS396482_10	Escherichia	nrps	Adult	1	1	1
dasN2_060_016G1_concoct_8-c00004_60_009_...region001	1867	dasN2_060_016G1_concoct_8	Escherichia	NRPS	Infant	1	1	1
ERS235629_69-002	1953	ERS235629_69	Escherichia	nrps	Adult	1	1	1
SRS294992_51-001	2040	SRS294992_51	Escherichia	nrps	Adult	1	1	1
SRS371383_7-004	1941	SRS371383_7	Escherichia	nrps	Adult	1	1	1
SRS476198_29-001	1867	SRS476198_29	Escherichia	nrps	Adult	1	1	0
SRS294958_38-001	2021	SRS294958_38	Escherichia	nrps	Adult	1	1	1
ERS473194_26-005	1867	ERS473194_26	Escherichia	nrps	Adult	1	1	1
SRS259479_14-001	1953	SRS259479_14	Escherichia	nrps	Adult	1	1	0
ERS396354_53-003	1695	ERS396354_53	Escherichia	other	Adult	1	1	0
SRS476020_36-001	2040	SRS476020_36	Escherichia	nrps	Adult	1	1	1
SRS373038_3-001	1867	SRS373038_3	Escherichia	nrps	Adult	1	1	1
dasN4_152_014G1_maxbin2.maxbin.003.fasta-c00018_N4_152_...region001	1953	dasN4_152_014G1_maxbin2.maxbin.003.fasta	Escherichia	NRPS	Infant	1	1	1
ERS473189_5-001	2021	ERS473189_5	Escherichia	nrps	Adult	1	1	1
SRS372649_4-005	2021	SRS372649_4	Escherichia	nrps	Adult	1	1	1
ERS473138_2-003	1941	ERS473138_2	Escherichia	nrps	Adult	0	1	1
SRS476338_6-004	2021	SRS476338_6	Escherichia	nrps	Adult	1	1	1
ERS537241_28-001	1953	ERS537241_28	Escherichia	nrps	Adult	1	1	1
SRS373041_1-004	1916	SRS373041_1	Escherichia	siderophore	Adult	0	1	1
SRS371870_2-001	2021	SRS371870_2	Escherichia	nrps	Adult	1	1	1
SRS371498_3-003	1867	SRS371498_3	Escherichia	nrps	Adult	1	1	1
ERS473160_3-002	1867	ERS473160_3	Escherichia	nrps	Adult	1	1	1
SRS475624_5-001	1953	SRS475624_5	Escherichia	nrps	Adult	0	1	1
dasN4_152_021G1_abawaca.29.fasta-c00011_N4_152_...region001	1867	dasN4_152_021G1_abawaca.29.fasta	Escherichia	NRPS	Infant	1	1	1
SRS372736_2-003	1953	SRS372736_2	Escherichia	nrps	Adult	1	1	1
SRS295001_66-001	2040	SRS295001_66	Escherichia	nrps	Adult	1	1	1
SRS294829_37-002	2040	SRS294829_37	Escherichia	nrps	Adult	1	1	1
dasN5_246_014G1_abawaca.11.fasta-c00005_N5_246_...region001	2021	dasN5_246_014G1_abawaca.11.fasta	Escherichia	NRPS	Infant	1	1	1
ERS473193_9-003	1916	ERS473193_9	Escherichia	siderophore	Adult	0	1	1
dasN5_273_015G1_maxbin2.maxbin.002.fasta-c00006_N5_273_...region001	2021	dasN5_273_015G1_maxbin2.maxbin.002.fasta	Escherichia	NRPS	Infant	1	1	1
ERS396381_57-002	1916	ERS396381_57	Escherichia	siderophore	Adult	0	1	1
dasN5_226_012G1_concoct_41-c00005_N5_226_...region001	2021	dasN5_226_012G1_concoct_41	Escherichia	NRPS	Infant	1	1	1
SRS259455_3-001	1953	SRS259455_3	Escherichia	nrps	Adult	0	1	1
SRS371395_1-004	2021	SRS371395_1	Escherichia	nrps	Adult	1	1	1
dasN5_245_072G1_concoct_12-c00015_N5_245_...region001	1867	dasN5_245_072G1_concoct_12	Escherichia	NRPS	Infant	1	1	1
ERS396469_1-001	1867	ERS396469_1	Escherichia	nrps	Adult	0	1	1
ERS473035_23-002	1941	ERS473035_23	Escherichia	nrps	Adult	0	1	1
ERS473324_11-001	2021	ERS473324_11	Escherichia	nrps	Adult	0	1	1
ERS473419_3-002	1941	ERS473419_3	Escherichia	nrps	Adult	1	1	1
SRS372581_1-002	2021	SRS372581_1	Escherichia	nrps	Adult	1	1	1
dasS2_010_018G1_maxbin2.maxbin.004.fasta-c00004_1018A06...region001	3057	dasS2_010_018G1_maxbin2.maxbin.004.fasta	Escherichia	thiopeptide	Infant	1	1	1
ERS473304_9-001	2021	ERS473304_9	Escherichia	nrps	Adult	1	1	1
SRS311530_3-003	1916	SRS311530_3	Escherichia	siderophore	Adult	0	1	1
ERS473237_20-002	2040	ERS473237_20	Escherichia	nrps	Adult	1	1	1
SRS372729_3-003	2021	SRS372729_3	Escherichia	nrps	Adult	1	1	1
SRS372595_3-002	2040	SRS372595_3	Escherichia	nrps	Adult	1	1	1
ERS537269_64-003	2040	ERS537269_64	Escherichia	nrps	Adult	1	1	1
SRS294895_5-001	2040	SRS294895_5	Escherichia	nrps	Adult	1	1	1
dasN5_242_050G1_maxbin2.maxbin.007.fasta-c00016_N5_242_...region001	2040	dasN5_242_050G1_maxbin2.maxbin.007.fasta	Escherichia	NRPS	Infant	1	1	1
ERS473157_2-002	1941	ERS473157_2	Escherichia	nrps	Adult	1	1	1
dasN4_128_012G1_maxbin2.maxbin.004.fasta-c00009_N4_128_...region001	2021	dasN4_128_012G1_maxbin2.maxbin.004.fasta	Escherichia	NRPS	Infant	1	1	1
SRS373109_2-002	2021	SRS373109_2	Escherichia	nrps	Adult	1	1	1
ERS473419_3-005	1916	ERS473419_3	Escherichia	siderophore	Adult	0	1	1
dasN3_178_014G2_concoct_16-c00006_178_006...region001	1953	dasN3_178_014G2_concoct_16	Escherichia	NRPS	Infant	1	1	1
SRS295027_45-001	2040	SRS295027_45	Escherichia	nrps	Adult	1	1	1
ERS473109_2-002	2021	ERS473109_2	Escherichia	nrps	Adult	1	1	1
SRS1735578_1-003	1941	SRS1735578_1	Escherichia	nrps	Adult	1	1	1
SRS1719161_4-001	1953	SRS1719161_4	Escherichia	nrps	Adult	1	1	1
dasS2_005_016G1_maxbin2.maxbin.002.fasta-c00005_JBBB003...region002	3057	dasS2_005_016G1_maxbin2.maxbin.002.fasta	Escherichia	thiopeptide	Infant	1	1	1
ERS473125_4-001	2021	ERS473125_4	Escherichia	nrps	Adult	1	1	1
ERS473156_2-005	1941	ERS473156_2	Escherichia	nrps	Adult	1	1	1
ERS608574_62-003	1953	ERS608574_62	Escherichia	nrps	Adult	1	1	1
dasS2_012_026G1_abawaca.18.fasta-c00009_1226A07...region001	1953	dasS2_012_026G1_abawaca.18.fasta	Escherichia	NRPS	Infant	1	1	1
SRS335409_5-001	2021	SRS335409_5	Escherichia	nrps	Adult	1	1	1
SRS1735560_2-004	2021	SRS1735560_2	Escherichia	nrps	Adult	1	1	1
SRS1735596_2-001	2021	SRS1735596_2	Escherichia	nrps	Adult	1	1	1
SRS373027_2-001	2021	SRS373027_2	Escherichia	nrps	Adult	1	1	1
ERS473240_4-001	2021	ERS473240_4	Escherichia	nrps	Adult	1	1	1
ERS608529_6-003	1867	ERS608529_6	Escherichia	nrps	Adult	1	1	1
ERS473108_16-004	1916	ERS473108_16	Escherichia	siderophore	Adult	0	1	1
SRS001031_9-004	1867	SRS001031_9	Escherichia	nrps	Adult	1	1	1
ERS473265_1-001	1867	ERS473265_1	Escherichia	nrps	Adult	1	1	1
SRS294880_7-001	2040	SRS294880_7	Escherichia	nrps	Adult	1	1	1
ERS473213_9-001	2021	ERS473213_9	Escherichia	nrps	Adult	1	1	1
SRS372536_3-001	2021	SRS372536_3	Escherichia	nrps	Adult	1	1	1
ERS473133_1-003	1941	ERS473133_1	Escherichia	nrps	Adult	1	1	1
SRS294934_56-001	2040	SRS294934_56	Escherichia	nrps	Adult	1	1	1
SRS373198_5-001	1867	SRS373198_5	Escherichia	nrps	Adult	1	1	1
ERS473052_2-001	1953	ERS473052_2	Escherichia	nrps	Adult	1	1	1
ERS473407_11-004	2021	ERS473407_11	Escherichia	nrps	Adult	1	1	1
SRS372549_18-003	1867	SRS372549_18	Escherichia	nrps	Adult	1	1	1
SRS820572_5-001	2040	SRS820572_5	Escherichia	nrps	Adult	1	1	1
ERS473204_3-001	2021	ERS473204_3	Escherichia	nrps	Adult	1	1	1
SRS403229_7-007	2383	SRS403229_7	Escherichia	nrps	Adult	1	1	1
dasN5_267_030G1_maxbin2.maxbin.003.fasta-c00004_N5_267_...region001	1867	dasN5_267_030G1_maxbin2.maxbin.003.fasta	Escherichia	NRPS	Infant	1	1	1
ERS473201_1-002	1867	ERS473201_1	Escherichia	nrps	Adult	1	1	1
SRS1719088_4-002	1953	SRS1719088_4	Escherichia	nrps	Adult	1	1	1
SRS372583_1-002	2021	SRS372583_1	Escherichia	nrps	Adult	1	1	1
ERS473063_1-001	1867	ERS473063_1	Escherichia	nrps	Adult	1	1	1
SRS294950_7-001	2040	SRS294950_7	Escherichia	nrps	Adult	1	1	1
ERS396524_34-001	2021	ERS396524_34	Escherichia	nrps	Adult	1	1	1
SRS255453_11-002	2021	SRS255453_11	Escherichia	nrps	Adult	1	1	1
ERS396462_5-004	1911	ERS396462_5	Escherichia	other	Adult	1	1	0
SRS476302_123-001	2040	SRS476302_123	Escherichia	nrps	Adult	1	1	1
ERS473358_5-001	1953	ERS473358_5	Escherichia	nrps	Adult	1	1	0
dasN2_035_000G1_maxbin2.maxbin.006.fasta-c00003_N2_035_...region001	1916	dasN2_035_000G1_maxbin2.maxbin.006.fasta	Escherichia	siderophore	Infant	0	1	1
ERS473218_2-002	2021	ERS473218_2	Escherichia	nrps	Adult	1	1	1
ERS473047_51-001	1953	ERS473047_51	Escherichia	nrps	Adult	1	1	1
SRS371894_1-001	1867	SRS371894_1	Escherichia	nrps	Adult	1	1	1
SRS414243_3-001	2021	SRS414243_3	Escherichia	nrps	Adult	1	1	1
ERS396381_57-001	1867	ERS396381_57	Escherichia	nrps	Adult	0	1	1
dasN5_226_012G1_concoct_41-c00005_N5_226_...region002	3057	dasN5_226_012G1_concoct_41	Escherichia	thiopeptide	Infant	1	1	1
ERS473067_3-002	1953	ERS473067_3	Escherichia	nrps	Adult	1	1	1
SRS373102_1-001	1941	SRS373102_1	Escherichia	nrps	Adult	1	1	1
ERS473368_10-001	1867	ERS473368_10	Escherichia	nrps	Adult	1	1	1
SRS386387_5-003	2021	SRS386387_5	Escherichia	nrps	Adult	1	1	1
ERS473062_1-001	1867	ERS473062_1	Escherichia	nrps	Adult	1	1	1
SRS371425_5-005	1941	SRS371425_5	Escherichia	nrps	Adult	1	1	1
